Album Id,Artist,Year of Release,Parent Company
AL001,Taylor Swift,2022,Universal Music Group
AL002,Bad Bunny,2022,Rimas Entertainment
AL003,BTS,2020,HYBE Corporation
AL004,Billie Eilish,2021,Universal Music Group
AL005,Dua Lipa,2020,Warner Music Group
AL006,Drake,2021,Universal Music Group
AL007,Rosalía,2022,Sony Music Entertainment
AL008,Ed Sheeran,2021,Warner Music Group
AL009,The Weeknd,2022,Universal Music Group
AL010,Karol G,2023,Universal Music Group
AL011,SZA,2022,Sony Music Entertainment
AL012,Rema,2022,Mavin Records
AL013,Ice Spice,2023,Universal Music Group
AL014,Harry Styles,2022,Sony Music Entertainment
AL015,Olivia Rodrigo,2023,Universal Music Group
AL016,J Balvin,2021,Universal Music Group
AL017,Doja Cat,2021,Sony Music Entertainment
AL018,Shakira,2017,Sony Music Entertainment
AL019,Stray Kids,2023,JYP Entertainment
AL020,BLACKPINK,2022,YG Entertainment
AL021,Jung Kook,2023,HYBE Corporation
AL022,Lana Del Rey,2023,Universal Music Group
AL023,Kendrick Lamar,2022,Universal Music Group
AL024,Megan Thee Stallion,2022,Warner Music Group
AL025,Travis Scott,2023,Sony Music Entertainment
AL026,Peso Pluma,2023,Double P Records
AL027,Becky G,2023,Sony Music Entertainment
AL028,Riton,2019,Sony Music Entertainment
AL029,Arca,2020,XL Recordings
AL030,Anitta,2022,Warner Music Group
AL031,Fred again..,2023,Warner Music Group
AL032,Hozier,2023,Sony Music Entertainment
AL033,Tems,2021,Sony Music Entertainment
AL034,Sabrina Carpenter,2022,Universal Music Group
AL035,Lorde,2021,Universal Music Group
AL036,Stromae,2022,Universal Music Group
AL037,Grimes,2020,Beggars Group
AL038,Sevdaliza,2020,Independent
AL039,Rex Orange County,2022,Sony Music Entertainment
AL040,Tones and I,2021,Independent
AL041,RIT,2023,Independent
AL042,Kaytranada,2019,Beggars Group
AL043,Libianca,2023,Warner Music Group
AL044,Joy Crookes,2022,Sony Music Entertainment
AL045,Aminé,2020,Independent
AL046,Kali Uchis,2018,Universal Music Group
AL047,Mahalia,2019,Warner Music Group
AL048,M.I.A.,2016,Beggars Group
AL049,Sam Smith,2020,Universal Music Group
AL050,Clairo,2021,Independent
AL051,Conan Gray,2022,Universal Music Group
AL052,Laufey,2023,Independent
AL053,Tyla,2023,Sony Music Entertainment
AL054,Ice Cube,1990,Universal Music Group
AL055,Jean Dawson,2020,Independent
AL056,Omah Lay,2023,Independent
AL057,Phoenix,2009,Independent
AL058,Mitski,2022,Independent
AL059,NIKI,2022,Independent
AL060,BENEE,2020,Universal Music Group
AL061,Drake,2018,Universal Music Group
AL062,Ed Sheeran,2017,Warner Music Group
AL063,The Weeknd,2020,Universal Music Group
AL064,Lana Del Rey,2017,Universal Music Group
AL065,Lana Del Rey,2019,Universal Music Group
AL066,Kendrick Lamar,2017,Universal Music Group
AL067,Travis Scott,2018,Sony Music Entertainment
AL068,Lorde,2017,Universal Music Group
AL069,Rex Orange County,2017,Sony Music Entertainment
AL070,Tones and I,2019,Independent
AL071,Tems,2020,Sony Music Entertainment
AL072,M.I.A.,2007,Beggars Group
AL073,Sam Smith,2023,Universal Music Group
AL074,Clairo,2019,Independent
AL075,Conan Gray,2020,Universal Music Group
AL076,Laufey,2023,Independent