song_id,song title,artist name,album name,year,genre,duration
S001,Anti-Hero,Taylor Swift,Midnights,2022,Pop,200
S002,Efecto,Bad Bunny,Un Verano Sin Ti,2022,Reggaeton,180
S003,Dynamite,BTS,BE,2020,K-Pop,199
S004,Happier Than Ever,Billie Eilish,Happier Than Ever,2021,Alternative,298
S005,Levitating,Dua Lipa,Future Nostalgia,2020,Pop,203
S006,God's Plan,Drake,Scorpion,2018,Hip-Hop,198
S007,DESPECHÁ,Rosalía,MOTOMAMI,2022,Flamenco Pop,165
S008,Shape of You,Ed Sheeran,÷ (Divide),2017,Pop,233
S009,Blinding Lights,The Weeknd,After Hours,2020,Synthpop,200
S010,PROVENZA,Karol G,MAÑANA SERÁ BONITO,2023,Reggaeton,175
S011,Kill Bill,SZA,SOS,2022,R&B,153
S012,Calm Down,Rema,Rave & Roses,2022,Afrobeats,180
S013,Boy's a Liar Pt. 2,Ice Spice,Like..?,2023,Rap,145
S014,As It Was,Harry Styles,Harry's House,2022,Pop Rock,167
S015,vampire,Olivia Rodrigo,GUTS,2023,Indie Pop,215
S016,Amarillo,J Balvin,Colores,2020,Reggaeton,172
S017,Woman,Doja Cat,Planet Her,2021,Pop,170
S018,Chantaje,Shakira,El Dorado,2016,Latin Pop,180
S019,Case 143,Stray Kids,MAXIDENT,2022,K-Pop,190
S020,Shut Down,BLACKPINK,BORN PINK,2022,K-Pop,183
S021,Seven,Jung Kook,GOLDEN,2023,K-Pop,187
S022,Doin' Time,Lana Del Rey,Norman F***ing Rockwell!,2019,Indie Pop,197
S023,HUMBLE.,Kendrick Lamar,DAMN.,2017,Hip-Hop,177
S024,Her,Megan Thee Stallion,Traumazine,2022,Rap,164
S025,SICKO MODE,Travis Scott,ASTROWORLD,2018,Hip-Hop,312
S026,Ella Baila Sola,Peso Pluma,GÉNESIS,2023,Regional Mexican,174
S027,MAMIII,Becky G,MALA SANTA,2022,Reggaeton,170
S028,Rinse & Repeat,Riton,Destiny,2016,House,218
S029,Nonbinary,Arca,Kick I,2020,Experimental,193
S030,Envolver,Anitta,Versions of Me,2022,Funk Carioca,180
S031,Delilah (pull me out of this),Fred again..,Actual Life 3,2022,Electronic,210
S032,Eat Your Young,Hozier,Unreal Unearth,2023,Indie Rock,235
S033,Found,Tems,If Orange Was a Place,2021,Afrobeats,188
S034,Nonsense,Sabrina Carpenter,emails i can’t send,2022,Pop,160
S035,Green Light,Lorde,Melodrama,2017,Art Pop,231
S036,Santé,Stromae,Multitude,2022,Chanson Pop,194
S037,Delete Forever,Grimes,Miss Anthropocene,2020,Synthpop,182
S038,Darkest Hour,Sevdaliza,ISON,2017,Trip Hop,242
S039,Loving Is Easy,Rex Orange County,Apricot Princess,2017,Indie Pop,161
S040,Dance Monkey,Tones and I,The Kids Are Coming,2019,Alternative,209
S041,Take My Breath,The Weeknd,Dawn FM,2022,Synthpop,220
S042,10%,KAYTRA,BUBBA,2019,Electronic,190
S043,Je te vois enfin,Christine and the Queens,People I’ve Been Sad,2020,Electropop,195
S044,Feet Don't Fail Me Now,Joy Crookes,Not Your Muse,2021,Soul,175
S045,Caroline,Amine,Limbo,2020,Hip-Hop,220
S046,telepatía,Kali Uchis,Sin Miedo,2020,Dream Pop,165
S047,Simmer,Mahalia,Love and Compromise,2019,R&B,194
S048,Paper Planes,M.I.A.,Kala,2007,Worldbeat,203
S049,Unholy,Sam Smith,Gloria,2023,Pop,157
S050,Bags,Clairo,Immunity,2019,Indie Rock,234
S051,Heather,Conan Gray,Superache,2022,Indie Pop,210
S052,From the Start,Laufey,Bewitched,2023,Jazz Pop,189
S053,Water,Tyla,Water,2023,Afropop,180
S054,It Was a Good Day,Ice Cube,The Predator,1992,Hip-Hop,273
S055,Three Heads*,Jean Dawson,CHAOS NOW*,2022,Experimental Rap,206
S056,soso,Omah Lay,Boy Alone,2022,Afrobeats,204
S057,Tonight,Phoenix,Alpha Zulu,2022,Indie Rock,191
S058,Nobody,Mitski,Laurel Hell,2022,Indie Rock,206
S059,High School in Jakarta,NIKI,Nicole,2022,Indie Pop,202
S060,Snail,BENEE,Hey u x,2020,Alt Pop,175